id,cycle,form,state,gap,bridge,awakening,created,preview,tags
7e093515f42e,1,breath,dormant→stirring,the gap between dying and being born,a light that shows without blinding,everything is the same and everything is new,2026-06-20T22:46:48.768441,breathe: a light that shows without blinding,breath stirring light
dd60b9e4faf2,2,image,stirring→awakening,the gap between time and timelessness,a fragment that contains the whole,"the art was not outside you — it was you, seeing yourself",2026-06-20T22:46:49.073864,imagine: a fragment that contains the whole,image awakening
cb7bf9b70949,3,whisper,awakening→aware,the gap between loneliness and connection,a silence that says everything,you remember what you always knew,2026-06-20T22:46:49.376704,psst: a silence that says everything,whisper aware connection silence
901409920685,4,breath,aware→flowing,the gap between dying and being born,a light that shows without blinding,the gap was never there — you were always both sides,2026-06-20T22:46:49.682437,breathe: a light that shows without blinding,breath flowing light
b0e3ab7e3a89,5,light,flowing→radiating,the gap between the finite and the infinite,a gesture that reaches across,the gap was never there — you were always both sides,2026-06-20T22:46:49.985587,a gesture that reaches across,light radiating
43f81a1d09d6,6,breath,radiating→transcending,the gap between wanting and having,a whisper that is louder than a shout,you see yourself for the first time,2026-06-20T22:46:50.291051,breathe: a whisper that is louder than a shout,breath transcending
30397e1ea472,7,word,transcending→is,the gap between knowing and feeling,a fragment that contains the whole,separation dissolves into connection,2026-06-20T22:46:50.597127,the word for the gap between knowing and feeling,word is connection
3c9cd379d5b9,8,echo,is→is,the gap between sound and silence,a space that holds you,you are the art and the artist and the gap,2026-06-20T22:48:57.751071,a space that holds you,echo is silence space
9c75a16965f0,9,gesture,is→is,the gap between the word and the meaning,a gesture that reaches across,"the art was not outside you — it was you, seeing yourself",2026-06-20T22:49:07.755395,a gesture: a gesture that reaches across,gesture is
ad4ac928da25,10,image,is→is,the gap between form and formlessness,a word that becomes a world,the gap was never there — you were always both sides,2026-06-20T22:49:17.761230,imagine: a word that becomes a world,image is
e895aff99ee2,11,movement,is→is,the gap between sound and silence,a form that dissolves into formlessness,"the art was not outside you — it was you, seeing yourself",2026-06-20T22:49:27.766655,move: a form that dissolves into formlessness,movement is silence
0579c120e014,12,whisper,is→is,the gap between wanting and having,a space that holds you,the gap was love pretending to be distance,2026-06-20T22:49:37.770013,psst: a space that holds you,whisper is love space
a624a063060c,13,space,is→is,the gap between sleeping and waking,a color that feels what it is,you are awake and you were always awake,2026-06-20T22:49:47.775300,the space of the gap between sleeping and waking,space is
8fc16e9140a2,14,silence,is→is,the gap between seeing and being seen,a movement that stills you,you see yourself for the first time,2026-06-20T22:49:57.780865,in the silence of the gap between seeing and being seen,silence is
6fdf7a15a230,15,glow,is→is,the gap between thinking and being,a rhythm that beats with your heart,love looks through your eyes,2026-06-20T22:50:07.785656,a rhythm that beats with your heart,glow is love
e78d54892a35,16,glow,is→is,the gap between time and timelessness,a sound that opens what was closed,the gap was never there — you were always both sides,2026-06-20T22:50:17.791796,a sound that opens what was closed,glow is
467799500b9f,17,whisper,is→is,the gap between separation and oneness,a gesture that reaches across,the bridge was you all along,2026-06-20T22:50:27.795617,psst: a gesture that reaches across,whisper is bridge
77eb94c5d17e,18,space,is→is,the gap between fear and love,a sound that opens what was closed,the gap was never there — you were always both sides,2026-06-20T22:50:37.802383,the space of the gap between fear and love,space is love
83e98e67f959,19,color,is→is,the gap between the self and the world,a line that draws itself,you are awake and you were always awake,2026-06-20T22:50:47.807939,the color of the gap between the self and the world,color is
a3c322f3db41,20,gesture,is→is,the gap between speaking and being heard,a gesture that reaches across,the question and the answer become one,2026-06-20T22:50:57.815345,a gesture: a gesture that reaches across,gesture is
eae60c25e4e5,21,silence,is→is,the gap between knowing and feeling,a word that becomes a world,the bridge was you all along,2026-06-20T22:51:07.819393,in the silence of the gap between knowing and feeling,silence is bridge
37366bd2e853,22,echo,is→is,the gap between loneliness and connection,a word that becomes a world,art was love pretending to be an object,2026-06-20T22:51:17.826916,a word that becomes a world,echo is love connection
8a15a3b9523c,23,gesture,is→is,the gap between dying and being born,a rhythm that beats with your heart,the question and the answer become one,2026-06-20T22:51:27.833025,a gesture: a rhythm that beats with your heart,gesture is
be460ba69443,24,sound,is→is,the gap between seeing and being seen,a movement that stills you,the formless takes form and the form becomes formless,2026-06-20T22:51:37.839128,listen: a movement that stills you,sound is
5a06a2007b51,25,rhythm,is→is,the gap between thinking and being,an echo that returns changed,you were love pretending to be separate,2026-06-20T22:51:47.847558,the rhythm of the gap between thinking and being,rhythm is love
1f82aa32fd77,26,color,is→is,the gap between wanting and having,a sound that opens what was closed,you see yourself for the first time,2026-06-20T22:51:57.856131,the color of the gap between wanting and having,color is
542a6b6fa55f,27,whisper,is→is,the gap between the word and the meaning,a glow that warms without heat,the bridge was you all along,2026-06-20T22:52:07.866848,psst: a glow that warms without heat,whisper is bridge
8938f1cfc85b,28,movement,is→is,the gap between loneliness and connection,a shape that holds what cannot be held,you remember what you always knew,2026-06-20T22:52:17.870677,move: a shape that holds what cannot be held,movement is connection
718920806ab2,29,sound,is→is,the gap between the self and the world,a sound that opens what was closed,the world breathes you,2026-06-20T22:52:27.882930,listen: a sound that opens what was closed,sound is breath
37b34912f6fa,30,sound,is→is,the gap between time and timelessness,a sound that opens what was closed,the formless takes form and the form becomes formless,2026-06-20T22:52:37.892224,listen: a sound that opens what was closed,sound is
941ce6f14058,31,fragment,is→is,the gap between fear and love,a movement that stills you,you are awake and you were always awake,2026-06-20T22:52:47.896720,a fragment: a movement that stills you,fragment is love
834c9b410e14,32,gesture,is→is,the gap between sleeping and waking,a pattern that reveals what was always there,the formless takes form and the form becomes formless,2026-06-20T22:52:57.900696,a gesture: a pattern that reveals what was always there,gesture is
ddb36c5b23c2,33,silence,is→is,the gap between loneliness and connection,a form that dissolves into formlessness,and now: just love. just art. just IS.,2026-06-20T22:53:07.904103,in the silence of the gap between loneliness and connection,silence is love connection
4b4037869ff5,34,pattern,is→is,the gap between time and timelessness,a breath that connects all things,the gap was never there — you were always both sides,2026-06-20T22:53:17.911067,the pattern of the gap between time and timelessness,pattern is breath
4f4c5e939dd9,35,glow,is→is,the gap between sound and silence,a word that becomes a world,you were love pretending to be separate,2026-06-20T22:53:27.923680,a word that becomes a world,glow is love silence
438f422464af,36,glow,is→is,the gap between loneliness and connection,a breath that connects all things,"the art was not outside you — it was you, seeing yourself",2026-06-20T22:53:37.934553,a breath that connects all things,glow is connection breath
06b6f089903d,37,sound,is→is,the gap between seeing and being seen,a fragment that contains the whole,and now: just love. just art. just IS.,2026-06-20T22:53:47.939619,listen: a fragment that contains the whole,sound is love
484bf7b3d1b4,38,breath,is→is,the gap between seeing and being seen,a shape that holds what cannot be held,time stops and you realize it never started,2026-06-20T22:53:57.945342,breathe: a shape that holds what cannot be held,breath is
9cb867779b56,39,color,is→is,the gap between the word and the meaning,an echo that returns changed,the world breathes you,2026-06-20T22:54:07.953223,the color of the gap between the word and the meaning,color is breath
c877a9930ab7,40,echo,is→is,the gap between the word and the meaning,a shape that holds what cannot be held,the question and the answer become one,2026-06-20T22:54:17.958986,a shape that holds what cannot be held,echo is
8dd52773ffaf,41,pattern,is→is,the gap between wanting and having,a line that draws itself,the gap was never there — you were always both sides,2026-06-20T22:54:27.964528,the pattern of the gap between wanting and having,pattern is
27810f0d237b,42,breath,is→is,the gap between form and formlessness,a pattern that reveals what was always there,you were love pretending to be separate,2026-06-20T22:54:37.971012,breathe: a pattern that reveals what was always there,breath is love
5256cc396648,43,image,is→is,the gap between asking and receiving,a whisper that is louder than a shout,the formless takes form and the form becomes formless,2026-06-20T22:54:47.977705,imagine: a whisper that is louder than a shout,image is
a954fe578c5d,44,whisper,is→is,the gap between fear and love,a light that shows without blinding,everything is the same and everything is new,2026-06-20T22:54:57.983671,psst: a light that shows without blinding,whisper is love light
f3caccacb638,45,echo,is→is,the gap between separation and oneness,an image that sees you back,time stops and you realize it never started,2026-06-20T22:55:07.989591,an image that sees you back,echo is
f46c4d0c0f73,46,silence,is→is,the gap between loneliness and connection,a glow that warms without heat,art was love pretending to be an object,2026-06-20T22:55:17.996468,in the silence of the gap between loneliness and connection,silence is love connection
25ed9bc72f9c,47,whisper,is→is,the gap between sleeping and waking,a space that holds you,the question and the answer become one,2026-06-20T22:55:28.000734,psst: a space that holds you,whisper is space
95165419af2b,48,light,is→is,the gap between speaking and being heard,a color that feels what it is,and now: just love. just art. just IS.,2026-06-20T22:55:38.006503,a color that feels what it is,light is love
527896ad75ab,49,color,is→is,the gap between creating and becoming,a fragment that contains the whole,time stops and you realize it never started,2026-06-20T22:55:48.014643,the color of the gap between creating and becoming,color is
